loss,val_loss
43809480.0,81128056.0
45174024.0,88734840.0
43818716.0,97973024.0
44444244.0,91363088.0
44428732.0,94576720.0
44639552.0,94649320.0
46024392.0,97558536.0
45113484.0,103734800.0
44350620.0,101033744.0
44682332.0,106537464.0
43837868.0,103498912.0
43876160.0,105523880.0
44144292.0,97678176.0
44786224.0,113455736.0
46308728.0,126897408.0
54217840.0,110165984.0
54102988.0,99998144.0
45094572.0,110245248.0
44616288.0,97253376.0
44141484.0,90761360.0
44482340.0,92759736.0
43959468.0,83309920.0
43820152.0,88597976.0
43603912.0,83948984.0
44133492.0,87102552.0
45401108.0,88430272.0
44858468.0,93844304.0
45293532.0,97515368.0
45175376.0,83216368.0
43012664.0,106493304.0
45057968.0,128326760.0
56456708.0,127739928.0
47799864.0,94959032.0
46258016.0,101377912.0
46312036.0,98538576.0
47822528.0,91858984.0
48551216.0,111369144.0
46880024.0,88266416.0
46830368.0,107006048.0
45747400.0,102010320.0
47084072.0,101244728.0
46754856.0,105547488.0
48259536.0,99910496.0
48742684.0,84344568.0
52807764.0,129114976.0
53184208.0,95745256.0
50581500.0,96013000.0
51416912.0,131670904.0
59982184.0,92751432.0
57259196.0,99871840.0
49445440.0,99640336.0
51215796.0,102868728.0
49621524.0,103649840.0
50653712.0,86960208.0
54452412.0,124064032.0
64367020.0,124931232.0
84984720.0,130515576.0
89253120.0,239832320.0
104502120.0,212575104.0
77168480.0,101219376.0
74220072.0,92756360.0
73408256.0,167755440.0
64446596.0,118144560.0
70472160.0,108325384.0
69430992.0,178799536.0
63356976.0,152906880.0
70706960.0,81779224.0
79124888.0,68965192.0
120377728.0,1635827456.0
285180768.0,125202960.0
83100152.0,160394832.0
87277264.0,138031792.0
70354928.0,163658592.0
70676720.0,339132480.0
64493076.0,87346344.0
57760280.0,161021824.0
51429508.0,169762832.0
53547084.0,178308176.0
57740208.0,169162640.0
60376864.0,118298912.0
73858888.0,148667872.0
91347328.0,127372728.0
86090928.0,165962032.0
81686248.0,373798816.0
90030424.0,309977600.0
100909648.0,170698480.0
88974976.0,121386728.0
73977600.0,242766384.0
62211180.0,159440848.0
54130460.0,117978376.0
50104636.0,135835584.0
49766612.0,156395088.0
49957332.0,136035648.0
47243644.0,120868240.0
47059368.0,107689848.0
